Year,Make,Model/Grade,Price (JA$),URL
2018,Toyota,"Axio 1,5L","JA$2,000,000",https://www.jacars.net/adv/2502345_toyota-axio-1-5l-2018/
2020,Toyota,"Corolla 1,8L","JA$3,390,000",https://www.jacars.net/adv/2502283_toyota-corolla-1-8l-2020/
2020,Toyota,"Corolla 1,8L","JA$3,450,000",https://www.jacars.net/adv/2502281_toyota-corolla-1-8l-2020/
2020,Toyota,"Corolla Touring 2,0L","JA$2,590,000",https://www.jacars.net/adv/2502233_toyota-corolla-touring-2-0l-2020/
2010,Toyota,"Crown Majesta 4,6L","JA$1,200,000",https://www.jacars.net/adv/2489462_toyota-crown-majesta-4-6l-2012/
2011,Toyota,"Crown 2,5L","JA$1,350,000",https://www.jacars.net/adv/2500918_toyota-crown-2-5l-2011/
2021,Toyota,"Raize 1,0L","JA$3,500,000",https://www.jacars.net/adv/2500710_toyota-raize-1-0l-2021/
2019,Toyota,"Voxy 2,0L","JA$4,290,000",https://www.jacars.net/adv/2497278_toyota-voxy-2-0l-2019/
2023,Toyota,"Corolla Cross 2,0L","JA$5,550,000",https://www.jacars.net/adv/2493504_toyota-corolla-cross-2-0l-2023/
2021,Toyota,"RAV4 2,0L","JA$6,190,000",https://www.jacars.net/adv/2495173_toyota-rav4-2-0l-2021/
2015,Toyota,"Vellfire 2,5L","JA$4,790,000",https://www.jacars.net/adv/2495167_toyota-vellfire-2-5l-2015/
2016,Toyota,"Noah 2,0L","JA$3,290,000",https://www.jacars.net/adv/2487838_toyota-noah-2-0l-2016/
2018,Toyota,"Noah 2,0L","JA$4,390,000",https://www.jacars.net/adv/2499406_toyota-noah-2-0l-2018/
2018,Toyota,"Noah 2,0L","JA$3,430,000",https://www.jacars.net/adv/2500502_toyota-noah-2-0l-2018/
2020,Toyota,"Fielder 1,5L","JA$2,480,000",https://www.jacars.net/adv/2495287_toyota-fielder-1-5l-2020/
2022,Toyota,"Hiace 2,8L","JA$4,450,000",https://www.jacars.net/adv/2501982_toyota-hiace-2-8l-2022/
2020,Toyota,"Corolla 1,8L","JA$3,390,000",https://www.jacars.net/adv/2501957_toyota-corolla-1-8l-2020/
2017,Toyota,"Alphard 2,5L","JA$5,200,000",https://www.jacars.net/adv/2490679_toyota-alphard-2-5l-2017/
2016,Toyota,"Wish 1,8L","JA$2,100,000",https://www.jacars.net/adv/2497841_toyota-wish-1-8l-2016/
2019,Toyota,"C-HR 1,8L","JA$3,150,000",https://www.jacars.net/adv/2493023_toyota-c-hr-1-8l-2019/
2019,Toyota,"C-HR 1,8L","JA$3,150,000",https://www.jacars.net/adv/2492727_toyota-c-hr-1-8l-2019/
2015,Toyota,"Fielder 1,5L","JA$1,830,000",https://www.jacars.net/adv/2501902_toyota-fielder-1-5l-2015/
2020,Toyota,"Aqua 1,5L","JA$2,050,000",https://www.jacars.net/adv/2501819_toyota-aqua-1-5l-2020/
2016,Toyota,"Crown Royal Saloon 2,5L","JA$2,790,000",https://www.jacars.net/adv/2496558_toyota-crown-royal-saloon-2-5l-2016/
2016,Toyota,"Noah 2,0L","JA$3,190,000",https://www.jacars.net/adv/2493929_toyota-noah-2-0l-2016/
2020,Toyota,"RAV4 2,0L","JA$5,690,000",https://www.jacars.net/adv/2483182_toyota-rav4-2-0l-2020/
2017,Toyota,"Crown Athlete 3,5L","JA$5,190,000",https://www.jacars.net/adv/2500641_toyota-crown-athlete-3-5l-2017/
2016,Toyota,"Harrier 2,0L","JA$2,890,000",https://www.jacars.net/adv/2501814_toyota-harrier-2-0l-2016/
2020,Toyota,"Probox 1,3L","JA$1,999,000",https://www.jacars.net/adv/2501800_toyota-probox-1-3l-2020/
2020,Toyota,"Fielder 1,5L","JA$2,250,000",https://www.jacars.net/adv/2493135_toyota-fielder-1-5l-2020/
2020,Toyota,"Corolla Touring 1,8L","JA$2,850,000",https://www.jacars.net/adv/2501004_toyota-corolla-touring-1-8l-2020/
2015,Toyota,"Passo 1,0L","JA$900,000",https://www.jacars.net/adv/2501682_toyota-passo-1-0l-2015/
2023,Toyota,"RAV4 2,4L","JA$5,699,999",https://www.jacars.net/adv/2501726_toyota-rav4-2-4l-2023/
2020,Toyota,"Fielder 1,5L","JA$2,300,000",https://www.jacars.net/adv/2497329_toyota-fielder-1-5l-2020/
2015,Toyota,"Voxy 2,0L","JA$2,899,999",https://www.jacars.net/adv/2501577_toyota-voxy-2-0l-2015/
2013,Toyota,"Crown Royal Saloon 2,5L","JA$2,490,000",https://www.jacars.net/adv/2500851_toyota-crown-royal-saloon-2-5l-2013/
2023,Toyota,"Hilux 2,4L","JA$9,290,000",https://www.jacars.net/adv/2498879_toyota-hilux-2-4l-2023/
2021,Toyota,"Prado 2,8L","JA$9,850,000",https://www.jacars.net/adv/2499702_toyota-prado-2-0l-2021/
2022,Toyota,"Land Cruiser 3,4L","JA$19,500,000",https://www.jacars.net/adv/2499704_toyota-land-cruiser-3-4l-2022/
2013,Toyota,"Mark X 2,5L","JA$2,350,000",https://www.jacars.net/adv/2500850_toyota-mark-x-2-5l-2013/
2023,Toyota,"Hilux 2,4L","JA$9,290,000",https://www.jacars.net/adv/2498835_toyota-hilux-2-4l-2023/
2014,Toyota,"Noah 2,0L","JA$2,650,000",https://www.jacars.net/adv/2498462_toyota-noah-2-0l-2014/
2014,Toyota,"Voxy 2,0L","JA$2,690,000",https://www.jacars.net/adv/2501523_toyota-voxy-2-0l-2014/
2015,Toyota,"Voxy 2,0L","JA$2,899,999",https://www.jacars.net/adv/2501498_toyota-voxy-2-0l-2015/
