year,make,model,model_type,score_band,mileage_band,comparable_count,median_price_yen,mean_price_yen,min_price_yen,max_price_yen
2006,MAZDA,TITAN,KR-SYF4T,3-3.5,200k+,1,157000,157000,157000,157000
2006,MAZDA,TITAN,LH69AH,3-3.5,150k-200k,1,183000,183000,183000,183000
2006,MAZDA,TITAN,LHR69,3-3.5,200k+,2,429000,429000,247000,611000
2006,MAZDA,TITAN,LHR69,R,200k+,1,319000,319000,319000,319000
2006,MAZDA,TITAN,LHR69,R,90k-120k,1,361000,361000,361000,361000
2006,MAZDA,TITAN,LKR69,3-3.5,90k-120k,1,404000,404000,404000,404000
2006,MAZDA,TITAN,LKR81A,3-3.5,200k+,1,415000,415000,415000,415000
2006,MAZDA,TITAN,LKR81A,3-3.5,30k-60k,1,576000,576000,576000,576000
2006,MAZDA,TITAN,LKR81A,4-4.5,60k-90k,1,785000,785000,785000,785000
2006,MAZDA,TITAN,LKR81A,R,200k+,1,458000,458000,458000,458000
2006,MAZDA,TITAN,LKR81AD,3-3.5,120k-150k,1,651000,651000,651000,651000
2006,MAZDA,TITAN,LKR81AD,3-3.5,200k+,2,486000,486000,438000,534000
2006,MAZDA,TITAN,LKR81AD,R,200k+,1,576000,576000,576000,576000
2006,MAZDA,TITAN,LKR81AN,3-3.5,200k+,1,481000,481000,481000,481000
2006,MAZDA,TITAN,LPR81AR,3-3.5,150k-200k,1,441000,441000,441000,441000
2006,MAZDA,TITAN,LPR81AR,3-3.5,90k-120k,1,494000,494000,494000,494000
2006,MAZDA,TITAN,LPR81AR,R,200k+,1,250000,250000,250000,250000
2006,MAZDA,TITAN,LPR81DR,R,200k+,1,610000,610000,610000,610000
2006,MAZDA,TITAN,LPR81N,3-3.5,200k+,2,1109000,1109000,805000,1413000
2006,MAZDA,TITAN,LPR81R,3-3.5,60k-90k,1,871000,871000,871000,871000
2006,MAZDA,TITAN,LPR81R,3-3.5,90k-120k,1,1309000,1309000,1309000,1309000
2006,MAZDA,TITAN,SYE4T,3-3.5,200k+,1,176000,176000,176000,176000
2006,MAZDA,TITAN,SYE6T,3-3.5,200k+,2,140500,140500,119000,162000
